a1.mdt.akamai.csd.disa.mil,214.48.32.24
dnipro.disa.mil,209.22.79.80
dod-ead.csd.disa.mil,156.112.76.57
dod-ead.mont.disa.mil,156.112.76.57
dod-emall-coop.csd.disa.mil,214.21.65.48
dod-emall-dev.csd.disa.mil,214.21.67.48
dod411.chamb.disa.mil,156.112.102.123
dod411.gds.disa.mil,156.112.102.123
dodi79130.disa.mil,209.22.79.130
dodi79131.disa.mil,209.22.79.131
dodi79140.disa.mil,209.22.79.140
dodi79141.disa.mil,209.22.79.141
dodi79144.disa.mil,209.22.79.144
dodi79150.disa.mil,209.22.79.150
dodi79151.disa.mil,209.22.79.151
dodi79160.disa.mil,209.22.79.160
dodi79170.disa.mil,209.22.79.170
dodi79180.disa.mil,209.22.79.180
dodi79190.disa.mil,209.22.79.190
dodpki.c3pki.chamb.disa.mil,209.22.74.157
dodpki.c3pki.den.disa.mil,152.229.65.44
dodwsus.csd.disa.mil,164.235.107.251
dodwsus.csd.disa.mil.edgekey.akamai.csd.disa.mil,214.48.28.63
doehrs-ih-demo.csd.disa.mil,156.112.67.71
doehrs-ih.csd.disa.mil,156.112.67.165
doehrs-test.csd.disa.mil,156.112.106.88
doehrsdw-demo.csd.disa.mil,156.112.68.44
doehrsdw-dte.csd.disa.mil,156.112.68.43
doehrsdw.csd.disa.mil,156.112.68.40
dpms.disa.mil,214.38.210.8
drr.disa.mil,156.112.108.50
ds-web.c3pki.chamb.disa.mil,209.22.74.156
ds-web.c3pki.den.disa.mil,152.229.65.42
dsams-csg.csd.disa.mil,156.112.108.13
dsams.csd.disa.mil,156.112.108.12
dsnbbs.ncr.disa.mil,156.112.108.76
dss-hill.csd.disa.mil,164.235.75.24
dtcs.pac.disa.mil,192.108.98.26
dtcswp.pac.disa.mil,192.108.98.26
dtmo-crm--pro.csd.disa.mil,164.235.74.41
dtmo-crm--rnt.csd.disa.mil,164.235.74.42
dtmo-crm--tst.csd.disa.mil,164.235.74.40
dtmo1-crm--pro.csd.disa.mil,164.235.44.41
dtmo1-crm--rnt.csd.disa.mil,164.235.74.42
dtmo1-crm--tst.csd.disa.mil,164.235.74.40
dtmo2-crm--pro.csd.disa.mil,164.235.74.41
dtmo2-crm--rnt.csd.disa.mil,164.235.44.42
dtmo2-crm--tst.csd.disa.mil,164.235.44.40
dublin.disa.mil,209.22.117.10
duestpdses02.disa.mil,159.77.9.83
dufdipdses02.disa.mil,214.3.130.72
dufdipdses03.disa.mil,214.3.130.73
dulciana.disa.mil,209.22.124.153
dumfdpdses02.disa.mil,214.36.3.13
dumfdpdses03.disa.mil,214.36.3.14
dumfdpdsis02.disa.mil,214.36.251.86
dumfdpexet01.disa.mil,214.36.251.132
dumfdvfxws01.disa.mil,214.36.249.197
dumihpdses02.disa.mil,209.22.79.83
dumihpdses03.disa.mil,209.22.79.84
dvsops-test.scott.disa.mil,209.22.91.135
dvsops.disa.mil,209.22.91.136
dvsops.scott.disa.mil,209.22.91.136
dvsreports.scott.disa.mil,209.22.91.139
e85.g.akamaiedge.akamai.csd.disa.mil,214.48.20.107
earth.disa.mil,214.36.49.73
earth.gvs.nga.mil.edgekey.akamai.csd.disa.mil,214.48.32.93
eas-nga.esd.disa.mil,156.112.107.199
eas.csd.disa.mil,156.112.67.171
eascrdte2.csd.disa.mil,156.112.67.31
easdemotrain.csd.disa.mil,156.112.67.19
easdtept.csd.disa.mil,156.112.106.90
east.disa.mil,209.22.124.111
eastraining.csd.disa.mil,156.112.67.30
ebis.satx.disa.mil,156.112.67.129
ebistest.satx.disa.mil,156.112.67.130
ebiz.csd.disa.mil,164.235.40.200
ebiz.nit.disa.mil,192.207.74.127
ebizcog.csd.disa.mil,164.235.44.30
ebmpe.csd.disa.mil,156.112.92.145
ebmse.csd.disa.mil,156.112.92.94
ebs.dai.csd.disa.mil,156.112.91.41
eda.cols.disa.mil,156.112.84.212
eda.ogden.disa.mil,156.112.92.25
eda2.cols.disa.mil,156.112.84.214
eda2.nit.disa.mil,192.207.74.236
eda2.ogden.disa.mil,156.112.92.27
eda4.nit.disa.mil,192.207.74.102
